world-universities copy,Name,web_pages,url_status_codes,all_urls_valid
CO,Instituto Tecnológico Metropolitano,https://www.itm.edu.co/,['ERROR: SSLError'],FALSE
CO,Instituto Universitario de La Paz,https://www.unipaz.edu.co/,[200],TRUE
CO,"Politécnico Columbiano ""Jaime Isaza Cadavid""",https://www.politecjic.edu.co/,['ERROR: ConnectionError'],FALSE
CO,Politécnico Grancolombiano - Institución Universitaria,https://www.poligran.edu.co/,[200],TRUE
CO,Pontificia Universidad Javeriana,https://www.javeriana.edu.co/,[200],TRUE
CO,Universidad Adventista de Colombia,https://www.unac.edu.co/,['ERROR: ConnectTimeout'],FALSE
CO,Universidad Antonio Nariño,https://www.uanarino.edu.co/,['ERROR: ConnectionError'],FALSE
CO,Universidad Autónoma de Bucaramanga,https://www.unab.edu.co/,['ERROR: SSLError'],FALSE
CO,Universidad Autónoma de Colombia,https://www.fuac.edu.co/,[200],TRUE
CO,Universidad Autónoma de Las Américas,https://www.uam.edu.co/,[200],TRUE
CO,Universidad Autónoma de Manizales,https://www.autonoma.edu.co/,[200],TRUE
CO,Universidad Autónoma de Occidente,https://www.cuao.edu.co/,['ERROR: ConnectionError'],FALSE
CO,Universidad Autónoma del Caribe,https://www.uac.edu.co/,['ERROR: ConnectTimeout'],FALSE
CO,Universidad Autónoma Latinoamericana,https://www.unaula.edu.co/,[200],TRUE
CO,Universidad Bellas Artes,https://www.bellasartes.edu.co/,[200],TRUE
CO,Universidad Católica de Colombia,https://www.ucatolica.edu.co/,[200],TRUE
CO,Universidad Católica de Manizales,https://www.ucatolicamz.edu.co/,['ERROR: ConnectionError'],FALSE
CO,Universidad Católica del Norte,https://www.ucn.edu.co/,[200],TRUE
CO,Universidad Católica del Oriente,https://www.uco.edu.co/,['ERROR: SSLError'],FALSE
CO,Universidad Católica Popular del Risaralda,https://www.ucpr.edu.co/,['ERROR: ConnectionError'],FALSE
CO,Universidad Central,https://www.ucentral.edu.co/,[200],TRUE
CO,Universidad Central del Valle del Cauca,https://www.uceva.edu.co/,[200],TRUE
CO,Universidad CES,https://www.ces.edu.co/,['ERROR: SSLError'],FALSE
CO,Universidad Cooperativa de Colombia,https://www.ucc.edu.co/,[200],TRUE
CO,Universidad de América Bogotá,https://www.uamerica.edu.co/,[200],TRUE
CO,Universidad de Antioquia,https://www.udea.edu.co/,[200],TRUE
CO,"Universidad de Bogotá ""Jorge Tadeo Lozano""",https://www.utadeo.edu.co/,[200],TRUE
CO,Universidad de Caldas,https://www.ucaldas.edu.co/,[200],TRUE
CO,Universidad de Cartagena,https://www.unicartagena.edu.co/,['ERROR: SSLError'],FALSE
CO,Universidad de Ciencias Aplicadas y Ambientales (UDCA),https://www.udca.edu.co/,[200],TRUE
CO,Universidad de Córdoba,https://www.unicordoba.edu.co/,['ERROR: ReadTimeout'],FALSE
CO,Universidad de La Amazonia,https://www.uniamazonia.edu.co/,[200],TRUE
CO,Universidad de La Guajira,https://www.uniguajira.edu.co/,[200],TRUE
CO,Universidad de La Sabana,https://www.unisabana.edu.co/,[200],TRUE
CO,Universidad de La Salle,https://www.lasalle.edu.co/,[200],TRUE
CO,Universidad de Los Andes,https://www.uniandes.edu.co/,[200],TRUE
CO,Universidad de Los Llanos,https://www.unillanos.edu.co/,[200],TRUE
CO,Universidad de Manizales,https://www.umanizales.edu.co/,[200],TRUE
CO,Universidad de Medellín,https://www.udem.edu.co/,[200],TRUE
CO,Universidad de Nariño,https://www.udenar.edu.co/,[200],TRUE
CO,Universidad de Pamplona,https://www.unipamplona.edu.co/,[200],TRUE
CO,Universidad de San Buenaventura,https://www.usb.edu.co/,[200],TRUE
CO,Universidad de San Buenaventura Medellin,https://www.usbmed.edu.co/,[200],TRUE
CO,Universidad de Sucre,https://www.unisucre.edu.co/,[200],TRUE
CO,Universidad del Atlántico,https://www.uniatlantico.edu.co/,[200],TRUE
CO,Universidad del Cauca,https://www.ucauca.edu.co/,['ERROR: ConnectTimeout'],FALSE
CO,Universidad del Magdalena,https://www.unimagdalena.edu.co/,[200],TRUE
CO,Universidad del Norte,https://www.uninorte.edu.co/,[200],TRUE
CO,Universidad del Quindío,https://www.uniquindio.edu.co/,[200],TRUE
CO,Universidad del Rosario,https://www.urosario.edu.co/,[200],TRUE
CO,Universidad del Sinú,https://www.unisinucartagena.edu.co/,[200],TRUE
CO,Universidad del Tolima,https://www.ut.edu.co/,['ERROR: SSLError'],FALSE
CO,Universidad del Valle del Cauca,https://www.univalle.edu.co/,['ERROR: SSLError'],FALSE
CO,"Universidad Distral ""Francisco José de Caldas""",https://www.udistrital.edu.co/,[200],TRUE
CO,Universidad EAFIT,https://www.eafit.edu.co/,[200],TRUE
CO,Universidad El Bosque,https://www.unbosque.edu.co/,[200],TRUE
CO,Universidad Externado de Colombia,https://www.uexternado.edu.co/,[200],TRUE
CO,Universidad Francisco de Paula Santander,https://www.ufps.edu.co/,['ERROR: SSLError'],FALSE
CO,Universidad ICESI,https://www.icesi.edu.co/,[200],TRUE
CO,Universidad INCCA de Colombia,https://www.unincca.edu.co/,[200],TRUE
CO,Universidad Industrial de Santander,https://www.uis.edu.co/,[200],TRUE
CO,Universidad La Gran Colombia,https://www.ugrancolombia.edu.co/,['ERROR: ConnectionError'],FALSE
CO,Universidad Libre de Colombia,https://www.unilibre.edu.co/,[200],TRUE
CO,Universidad Mariana,https://www.umariana.edu.co/,[200],TRUE
CO,Universidad Metropolitana,https://www.unimetro.edu.co/,['ERROR: SSLError'],FALSE
CO,Universidad Militar Nueva Granada,https://www.umng.edu.co/,['ERROR: ReadTimeout'],FALSE
CO,Universidad Nacional Abierta y a Distancia,https://www.unad.edu.co/,[200],TRUE
CO,Universidad Nacional de Colombia,https://www.unal.edu.co/,['ERROR: ConnectionError'],FALSE
CO,Universidad Pedagogica Nacional,https://www.pedagogica.edu.co/,['ERROR: SSLError'],FALSE
CO,Universidad Pedagógica y Tecnológica de Colombia,https://www.uptc.edu.co/,['ERROR: ConnectTimeout'],FALSE
CO,Universidad Piloto de Colombia,https://www.unipiloto.edu.co/,[200],TRUE
